,mzmin,mzmax,mzmed,rtmin,rtmax,rtmed,area
679,179.1551,179.1561,179.1554,892.154,911.21,897.113,28316.618263800025
680,180.0724,180.0758,180.0741,122.872,153.942,127.396,744867.9362533999
681,180.1096,180.1098,180.1096,172.362,198.817,192.559,36844.15977465002
682,180.1179,180.1208,180.1189,549.305,569.096,564.268,40880.65429640004
683,180.1311,180.1335,180.1316,598.956,615.846,608.859,21516.612787849983
684,180.5435,180.544,180.5438,122.872,145.575,122.872,82775.88663359998
685,180.9893,180.9904,180.9894,262.406,298.306,289.5,35661.65162014998
686,181.0619,181.0622,181.0622,478.744,499.718,488.952,28003.183102149982
687,181.1071,181.1078,181.1075,478.744,504.064,484.767,48340.469374599954
688,181.1355,181.1359,181.1357,883.997,907.172,904.154,185609.22739335045
689,182.0285,182.0323,182.0289,296.068,331.812,301.689,27207.88875300002
690,182.0379,182.0416,182.0415,1713.04,1724.5,1724.5,11325.096339000043
691,182.0782,182.0798,182.0782,791.991,814.105,794.083,27287.749029900056
692,182.0891,182.0899,182.0899,212.581,236.995,236.995,18159.901026250012
693,182.1171,182.1177,182.1174,263.457,286.258,276.511,20093.527487999996
694,182.1254,182.1256,182.1256,492.148,495.404,495.404,3067.802460299975
695,182.1308,182.1312,182.1309,460.837,474.901,473.012,23409.803908600068
696,182.1446,182.1473,182.1472,1435.49,1471.97,1470.09,78960.7120665001
697,182.9575,182.9578,182.9577,1708.88,1736.08,1720.39,33024.29260649982
698,183.0848,183.0867,183.0848,626.365,646.75,639.261,17465.3554117
699,183.112,183.1129,183.1125,363.23,385.86,372.63,30075.07796969999
700,183.1163,183.1168,183.1167,1360.48,1383.56,1363.46,553012.6465420019
701,183.1228,183.1235,183.1231,310.594,343.839,340.529,31095.147831500002
702,183.1429,183.1435,183.143,673.353,681.866,677.593,9848.709665550025
703,183.9881,183.9886,183.9882,264.552,298.306,281.959,28923.35483244997
704,184.023,184.0245,184.0239,1713.04,1730.81,1730.81,18550.661709499967
705,184.0638,184.0663,184.0653,1313.31,1326.33,1316.33,16302.629314999976
706,184.0722,184.0737,184.0732,261.321,299.447,279.786,33108.33381629998
707,184.0811,184.0818,184.0811,976.456,979.491,977.478,5212.159230099974
708,184.0857,184.0909,184.0883,619.998,652.143,639.261,83653.77772555014
709,184.1464,184.1468,184.1467,563.311,567.168,566.202,8698.513493549945
710,184.1692,184.1695,184.1692,1271.7,1294.43,1294.43,46450.954157000466
711,185.0918,185.0923,185.0923,286.258,310.594,286.258,16319.84561930001
712,185.0994,185.1033,185.1033,414.676,448.571,448.571,32633.342800900034
713,185.1268,185.1288,185.1288,871.694,892.154,886.056,24335.199655250035
714,185.1283,185.1292,185.1283,219.979,247.288,231.763,23032.389957299998
715,185.1318,185.1326,185.1318,1243.21,1260.43,1243.21,22189.487372500058
716,185.1386,185.1391,185.1388,705.483,719.014,717.948,15109.338255750094
717,186.0074,186.0075,186.0074,744.288,752.76,748.578,12684.458432549967
718,186.0755,186.076,186.0759,193.581,198.817,196.711,5938.801398900022
719,186.0802,186.0841,186.084,195.667,219.979,195.667,23352.369426050012
720,186.9965,187.0001,186.9996,1251.17,1272.72,1272.72,18477.20879799994
721,187.0082,187.0089,187.0086,153.942,172.362,159.635,44332.31046714998
722,187.0728,187.0755,187.0752,1272.72,1303.26,1279.8,59517.61077049992
723,187.0794,187.082,187.0814,1191.04,1202.05,1201.04,14515.018099999968
724,187.1073,187.108,187.1074,426.906,463.926,461.87,63793.6212423
725,187.1436,187.1442,187.1441,501.916,529.061,523.944,32140.29097315004
726,187.1474,187.148,187.1479,212.581,230.689,229.616,18793.516081849997
727,187.1517,187.1525,187.1517,1052.59,1059.77,1058.78,9450.518051500023
728,187.1687,187.1693,187.1692,228.55,267.789,267.789,34848.961130149975
729,188.047,188.0499,188.0497,184.395,211.508,184.395,22929.995403849996
730,188.0699,188.0706,188.0704,446.559,483.744,481.706,137502.66262190015
731,188.079,188.0822,188.081,478.744,493.257,490.029,24646.022824699954
732,188.1617,188.1645,188.1644,1026.05,1036.18,1027.07,24896.21204600032
733,188.9658,188.9661,188.9659,1627.37,1643.78,1627.37,19716.002004000096
734,189.039,189.0392,189.0391,122.872,127.396,122.872,19855.2526983
735,189.0518,189.0524,189.052,794.083,799.392,799.392,10966.374129250176
736,189.052,189.0553,189.0553,176.331,184.395,178.346,10646.00130190003
737,189.0651,189.066,189.0653,301.689,307.279,305.054,3844.6667457499802
738,189.0953,189.0957,189.0955,263.457,296.068,294.975,26789.76251214999
739,189.106,189.1063,189.1062,124.672,135.592,127.396,234096.52227895043
740,189.131,189.1321,189.1312,791.991,800.434,799.392,31810.253767249662
741,189.1632,189.1638,189.1635,490.029,519.756,519.756,31093.752415649975
742,190.0286,190.0293,190.0286,253.771,275.385,253.771,20260.517713650013
743,190.0383,190.0389,190.0383,837.637,858.477,850.13,24262.551942700036
744,190.0705,190.0713,190.0708,134.677,141.019,141.019,29592.947546850068
745,190.0893,190.09,190.0894,672.288,686.087,673.353,15876.599727949966
746,190.115,190.1155,190.1151,1170.49,1198.0,1180.29,49693.84924899995
747,190.1153,190.1161,190.116,855.355,866.636,860.559,19816.540856449916
748,191.0311,191.0337,191.0314,298.306,337.296,335.139,60060.8500354
749,191.0366,191.0375,191.037,277.583,311.762,296.068,25560.52211839998
750,191.0617,191.0621,191.0617,122.872,134.677,122.872,216788.6877581499
751,191.065,191.0655,191.0652,1069.93,1078.14,1075.07,15606.946571000135
752,191.0812,191.0833,191.0812,753.793,775.597,758.966,45236.10995919996
